IncidentSize,FireCause,InitialLatitude,InitialLongitude,Month
-4.605170185988091,0,37.349014,-120.558717,4
-4.605170185988091,0,36.958283,-120.079346,5
-4.605170185988091,0,41.708633,-122.775,9
-4.605170185988091,0,38.184518,-122.601344,5
-4.605170185988091,0,36.968692,-120.0516,5
-4.605170185988091,0,32.692079,-116.293593,8
-4.605170185988091,0,35.296173,-120.721088,8
-4.605170185988091,0,34.009509,-117.433379,4
-4.605170185988091,0,37.703947,-120.250147,4
-4.605170185988091,0,41.002778,-121.445833,8
-4.605170185988091,0,37.837428,-120.345448,7
-4.605170185988091,0,37.387817,-121.131833,5
-4.605170185988091,0,38.178732,-120.571351,7
-4.605170185988091,0,37.151214,-120.697268,7
-4.605170185988091,0,41.731317,-122.631767,9
-4.605170185988091,0,40.58375,-121.091717,8
-4.605170185988091,0,37.8975,-121.854733,10
-4.605170185988091,0,33.925407,-116.892897,8
-4.605170185988091,0,38.411145,-122.451227,6
